Presentation Date,Reading Title & Author,Discussion Leader Name,Student Email,Mandatory Prep Meeting Slot (1 Wk Prior)
Sep 8 (Tue),Work of Art in the Age of Mechanical Reproduction (Benjamin),,,Wed Sep 2 @ 11:00 – 11:15 AM
Sep 10 (Thu),Modernist Painting (Greenberg),,,Wed Sep 2 @ 11:15 – 11:30 AM
Sep 10 (Thu),Rhetoric of Image (Barthes),,,Wed Sep 2 @ 11:30 – 11:45 AM
Sep 15 (Tue),On Photography — Introduction (Sontag),,,Wed Sep 9 @ 11:00 – 11:15 AM
Sep 17 (Thu),Ontology of Photographic Image (Bazin),,,Wed Sep 9 @ 11:15 – 11:30 AM
Sep 17 (Thu),Myth of Total Cinema (Bazin),,,Wed Sep 9 @ 11:30 – 11:45 AM
Sep 22 (Tue),Woman as Sign (Cowie),,,Wed Sep 16 @ 11:00 – 11:15 AM
Sep 22 (Tue),Visual Pleasure & Narrative Cinema (Mulvey),,,Wed Sep 16 @ 11:15 – 11:30 AM
Sep 24 (Thu),Machinic Intimacies and Mechanical Brides (Ivanchikova),,,Wed Sep 16 @ 11:30 – 11:45 AM
Oct 8 (Thu),Technology & Society (Williams),,,Wed Sep 30 @ 11:00 – 11:15 AM
Oct 8 (Thu),A Propaganda Model (Herman & Chomsky),,,Wed Sep 30 @ 11:15 – 11:30 AM
Oct 13 (Tue),Medium is the Message (McLuhan),,,Wed Oct 7 @ 11:00 – 11:15 AM
Oct 13 (Tue),Culture of Technology,,,Wed Oct 7 @ 11:15 – 11:30 AM
Oct 15 (Thu),Remediation: Understanding New Media (Bolter & Grusin),,,Wed Oct 7 @ 11:30 – 11:45 AM
Oct 15 (Thu),New Media & Permanent Crisis of Aura (Bolter et al.),,,Wed Oct 7 @ 11:45 AM – 12:00 PM
Oct 20 (Tue),Hamlet on the Holodeck (Murray),,,Wed Oct 14 @ 11:00 – 11:15 AM
Oct 20 (Tue),From Additive to Expressive Form (Murray),,,Wed Oct 14 @ 11:15 – 11:30 AM
Nov 3 (Tue),As We May Think (Bush),,,Wed Oct 28 @ 11:00 – 11:15 AM
Nov 3 (Tue),Language of New Media (Manovich),,,Wed Oct 28 @ 11:15 – 11:30 AM
Nov 5 (Thu),Life on the Screen — Introduction (Turkle),,,Wed Oct 28 @ 11:30 – 11:45 AM
Nov 10 (Tue),Watch Me Play: Twitch & Live Streaming as Media (Taylor),,,Wed Nov 4 @ 11:00 – 11:15 AM
Nov 12 (Thu),Convergence Culture — Introduction (Jenkins),,,Wed Nov 4 @ 11:15 – 11:30 AM
Nov 17 (Tue),Homo Ludens (Huizinga),,,Wed Nov 11 @ 11:00 – 11:15 AM
Nov 17 (Tue),Procedural Rhetoric (Bogost),,,Wed Nov 11 @ 11:15 – 11:30 AM
Nov 19 (Thu),Algorithms of Oppression — Introduction (Noble),,,Wed Nov 11 @ 11:30 – 11:45 AM
Nov 24 (Tue),On the Dangers of Stochastic Parrots (Bender et al.),,,Wed Nov 18 @ 11:00 – 11:15 AM
