Date,Type,New Plan,Notes,Due
Aug 25,Intro,Syllabus / Shadow Syllabus,Welcome,
Aug 27,Intro,How to Read a Book/ Why Study History of Digital Media?/Reading Material Overview,,Last day to register: Aug 28
Sep 1,Basic concept,Critical Reading / Encoding Decoding,,Sign up for Discussion Lead
Sep 3,Basic concept,"Speculative everything/Doing More with Less
Informed Speculation as Method",,
Sep 8,Legacy media,Work of Art in the Age of Mechanical Reproduction,,
Sep 10,Legacy media,Modernist Painting/Rhetoric of Image,,
Sep 15,Legacy media,On Photography- introduction,,
Sep 17,Legacy media,The ontology of photographic image/ The myth of total cinema,,
Sep 22,Legacy media,Woman as sign/ The visual pleasure and narrative cinema.,,Creative Reflection Due Sep 27 8PM
Sep 24,Legacy media,Machinic Intimacies and Mechanical Brides: Collectivity between Prosthesis and Surrogacy in Jonathan Mostow's Surrogates and Spike Jonze's Her,,
Sep 24,Quiz,Quiz 1,,
Sep 29,Assignment,Creative Reflection Presentations,Online,
Oct 1,Assignment,Creative Reflection Presentations,Online,
Oct 6,,Fall Break,No Class,
Oct 8,Legacy media,"The technology and the society/ Manufacturing Consent: The Political Economy of the Mass Media
Chapter: A Propaganda Model",,
Oct 13,Transformation,Medium is the message/Culture of Technology,,
Oct 15,Transformation,"Remediation: Understanding new media.
Chapter: Introduction- The double logic of remediation./New Media and the Permanent Crisis of Aura/",,First Half Term ends: Oct 16
Oct 20,Transformation,"Hamlet on the Holodeck- the future of Narrative in cyberspace
Introduction & Chapter: From additive to expressive form",,
Oct 20,Quiz,Quiz 2,,
Oct 22,Assignment,Decoding Art Presentations,Online,
Oct 27,Assignment,Decoding Art Presentations,Online,
Oct 29,Assignment,Decoding Art Presentations,Online,Withdrawal deadline. Last day to withdraw from a single course or from school with W grades for Fall Semester 2026 by 11:59 PM Eastern Time.
Nov 3,New media,As we may think/ The language of new media.,,
Nov 5,New media,"Life on the screen- identity in the age of the internet
Chapter: Introduction",,Sign up for Final Paper Groups
Nov 10,New media,"Watch Me Play: Twitch and the Rise of Game Live Streaming
Chapter: Live Streaming as Media",,
Nov 12,New media,"Convergence Culture- where old and new media collide
Chapter: Introduction",,
Nov 17,New media,"Homo Ludens- a study of the play-element in culture
Chapter: Nature and Significance of Play as a Cultural Phenomenon/ Persuasive Game- the expressive power of video games Chapter: Procedural rhetoric",,
Nov 19,New media,"Algorithms of Oppression: How Search Engines Reinforce Racism
Chapter: Introduction",,
Nov 24,New media,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?,,
Nov 24,Quiz,Quiz 3,,
Nov 26,,Official Institute Holiday (Thanksgiving),No Class,
Dec 1,Assignment,Final Paper Studio,Online,
Dec 3,Assignment,Final Paper Studio,Online,
Dec 8,Assignment,Final Paper Studio,Online — Last Day of Classes,Final Paper Due: Dec 16
Dec 16,,Final Paper Due,,
Dec 22,,Final Grades Available Online,,
